"sex","variable","mean","sd","skewness","excess_kurtosis"
"Female","bmi",23.42412,1.95115238377862,-0.241099979583255,0.0991385355417873
"Female","height",161.8112,6.85020726897552,-0.0188648483403109,-0.0583444708851402
"Female","weight",61.62572,8.62890016544475,-0.0131984256712616,-0.0719350724933001
"Male","bmi",27.52938,1.51246035414637,-0.0520777705932708,0.126366461020953
"Male","height",175.327,7.28674758298024,-0.0617256833107403,0.0747543877656267
"Male","weight",84.8308,8.97241997590642,0.00187024142449349,0.134996404628323
